,journal_title,article_title,contributors,year,doi
0,"The Making of a Dynamic General Vegetation Model, MC1",Global Vegetation Dynamics,['Ronald P. Neilson'],2015,10.1002/9781119011705.ch4
1,Journal of Water and Climate Change,Journal of Water and Climate Change,"['S. Supharatid', 'J. Nafung']",2021,10.2166/wcc.2021.308
2,Journal of Climate,Journal of Climate,"['Koichi Sakaguchi', 'Xubin Zeng', 'Michael A. Brunke']",2012,10.1175/JCLI-D-11-00106.1
3,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Benjamin Möbis', 'Bjorn Stevens']",2012,10.1029/2012MS000199
4,Journal of the Meteorological Society of Japan. Ser. II,Journal of the Meteorological Society of Japan. Ser. II,"['Shoji HIRAHARA', 'Hiroshi OHNO', 'Yoshinori OIKAWA', 'Shuhei MAEDA']",2012,10.2151/jmsj.2012-506
5,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['H. Struthers', 'A. M. L. Ekman', 'P. Glantz', 'T. Iversen', 'A. Kirkevåg', 'Ø. Seland', 'E. M. Mårtensson', 'K. Noone', 'E. D. Nilsson']",2013,10.1002/jgrd.50129
6,Climate Dynamics,Climate Dynamics,"['Alain T. Tamoffo', 'Alessandro Dosio', 'Leonard K. Amekudzi', 'Torsten Weber']",2023,10.1007/s00382-022-06502-y
7,Geography Compass,Geography Compass,['Justin T. Schoof'],2013,10.1111/gec3.12036
8,PLoS ONE,PLoS ONE,"['Robert I. McDonald', 'Evan H. Girvetz', 'A. Mark Ibekwe']",2013,10.1371/journal.pone.0065589
9,Journal of Climate,Journal of Climate,"['John G. Dwyer', 'Michela Biasutti', 'Adam H. Sobel']",2012,10.1175/JCLI-D-11-00741.1
10,Earth Interactions,Earth Interactions,"['David Montenegro Lapola', 'Ruediger Schaldach', 'Joseph Alcamo', 'Alberte Bondeau', 'Siwa Msangi', 'Joerg A. Priess', 'Rafaella Silvestrini', 'Britaldo Silveira Soares-Filho']",2011,10.1175/2010EI333.1
11,Climate Dynamics,Climate Dynamics,"['Ziwang Deng', 'Xin Qiu', 'Jinliang Liu', 'Neal Madras', 'Xiaogang Wang', 'Huaiping Zhu']",2016,10.1007/s00382-015-2740-9
12,Journal of Climate,Journal of Climate,"['Esteban Abellán', 'Shayne McGregor', 'Matthew H. England']",2017,10.1175/JCLI-D-16-0326.1
13,Global Change Biology,Global Change Biology,['Stephanie Jenouvrier'],2013,10.1111/gcb.12195
14,Journal of Proteomics,Journal of Proteomics,"['M. Toni', 'E. Angiulli', 'G. Miccoli', 'C. Cioni', 'E. Alleva', 'F. Frabetti', 'F. Pizzetti', 'F. Grassi Scalvini', 'S. Nonnis', 'A. Negri', 'G. Tedeschi', 'E. Maffioli']",2019,10.1016/j.jprot.2019.103396
