,journal_title,article_title,contributors,year,doi
136,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Takahito Kataoka', 'Hiroaki Tatebe', 'Hiroshi Koyama', 'Takashi Mochizuki', 'Koji Ogochi', 'Hiroaki Naoe', 'Yukiko Imada', 'Hideo Shiogama', 'Masahide Kimoto', 'Masahiro Watanabe']",2020,10.1029/2019MS002035
137,Climate Dynamics,Climate Dynamics,"['Davide Zanchettin', 'Shih-Wei Fang', 'Myriam Khodri', 'Nour-Eddine Omrani', 'Sara Rubinetti', 'Angelo Rubino', 'Claudia Timmreck', 'Johann H. Jungclaus']",2023,10.1007/s00382-023-06679-w
138,Environmental Research Letters,Environmental Research Letters,"['Yoshimitsu Chikamoto', 'Wei Zhang', 'Lawrence Hipps', 'S-Y Simon Wang', 'Robert R Gillies', 'Siiri Bigalke']",2023,10.1088/1748-9326/acc6e0
139,npj Climate and Atmospheric Science,npj Climate and Atmospheric Science,"['Panos J. Athanasiadis', 'Stephen Yeager', 'Young-Oh Kwon', 'Alessio Bellucci', 'David W. Smith', 'Stefano Tibaldi']",2020,10.1038/s41612-020-0120-6
140,Journal of Climate,Journal of Climate,"['Frederic S. Castruccio', 'Yohan Ruprich-Robert', 'Stephen G. Yeager', 'Gokhan Danabasoglu', 'Rym Msadek', 'Thomas L. Delworth']",2019,10.1175/JCLI-D-18-0307.1
141,Earth System Dynamics,Earth System Dynamics,"['Rashed Mahmood', 'Markus G. Donat', 'Pablo Ortega', 'Francisco J. Doblas-Reyes', 'Carlos Delgado-Torres', 'Margarida Samsó', 'Pierre-Antoine Bretonnière']",2022,10.5194/esd-13-1437-2022
142,Journal of Hydrology,Journal of Hydrology,"['Vivek Gupta', 'Vishal Singh', 'Manoj Kumar Jain']",2020,10.1016/j.jhydrol.2020.125422
143,Journal of Climate,Journal of Climate,"['Yohan Ruprich-Robert', 'Rym Msadek', 'Frederic Castruccio', 'Stephen Yeager', 'Tom Delworth', 'Gokhan Danabasoglu']",2017,10.1175/JCLI-D-16-0127.1
144,International Journal of Climatology,International Journal of Climatology,"['Md Monowar Hossain', 'Nikhil Garg', 'A. H. M. Faisal Anwar', 'Mahesh Prakash', 'Mohammed Bari']",2022,10.1002/joc.7287
145,Science Advances,Science Advances,"['Katarzyna B. Tokarska', 'Martin B. Stolpe', 'Sebastian Sippel', 'Erich M. Fischer', 'Christopher J. Smith', 'Flavio Lehner', 'Reto Knutti']",2020,10.1126/sciadv.aaz9549
146,Climate Dynamics,Climate Dynamics,"['Rubén Cruz-García', 'Pablo Ortega', 'Virginie Guemas', 'Juan C. Acosta Navarro', 'François Massonnet', 'Francisco J. Doblas-Reyes']",2021,10.1007/s00382-020-05560-4
147,Climate Dynamics,Climate Dynamics,"['Tianyun Dong', 'Wenjie Dong']",2021,10.1007/s00382-021-05773-1
148,Journal of the Meteorological Society of Japan. Ser. II,Journal of the Meteorological Society of Japan. Ser. II,"['Xiaoge XIN', 'Min WEI', 'Qingquan LI', 'Wei ZHOU', 'Yong LUO', 'Zongci ZHAO']",2019,10.2151/jmsj.2019-043
149,Nature Communications,Nature Communications,"['Mark R. Payne', 'Gokhan Danabasoglu', 'Noel Keenlyside', 'Daniela Matei', 'Anna K. Miesner', 'Shuting Yang', 'Stephen G. Yeager']",2022,10.1038/s41467-022-30280-0
150,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Ramiro I. Saurral', 'William J. Merryfield', 'Mikhail A. Tolstykh', 'Woo‐Sung Lee', 'Francisco J. Doblas‐Reyes', 'Javier García‐Serrano', 'François Massonnet', 'Gerald A. Meehl', 'Haiyan Teng']",2021,10.1029/2021MS002570
151,Geoscientific Model Development,Geoscientific Model Development,"['Doug M. Smith', 'James A. Screen', 'Clara Deser', 'Judah Cohen', 'John C. Fyfe', 'Javier García-Serrano', 'Thomas Jung', 'Vladimir Kattsov', 'Daniela Matei', 'Rym Msadek', 'Yannick Peings', 'Michael Sigmond', 'Jinro Ukita', 'Jin-Ho Yoon', 'Xiangdong Zhang']",2019,10.5194/gmd-12-1139-2019
152,Bulletin of the American Meteorological Society,Bulletin of the American Meteorological Society,"['Pablo Ortega', 'Edward W. Blockley', 'Morten Køltzow', 'François Massonnet', 'Irina Sandu', 'Gunilla Svensson', 'Juan C. Acosta Navarro', 'Gabriele Arduini', 'Lauriane Batté', 'Eric Bazile', 'Matthieu Chevallier', 'Rubén Cruz-García', 'Jonathan J. Day', 'Thierry Fichefet', 'Daniela Flocco', 'Mukesh Gupta', 'Kerstin Hartung', 'Ed Hawkins', 'Claudia Hinrichs', 'Linus Magnusson', 'Eduardo Moreno-Chamarro', 'Sergio Pérez-Montero', 'Leandro Ponsoni', 'Tido Semmler', 'Doug Smith', 'Jean Sterlin', 'Michael Tjernström', 'Ilona Välisuo', 'Thomas Jung']",2022,10.1175/BAMS-D-22-0083.1
153,npj Climate and Atmospheric Science,npj Climate and Atmospheric Science,"['Naiming Yuan', 'Christian L. E. Franzke', 'Feilin Xiong', 'Zuntao Fu', 'Wenjie Dong']",2022,10.1038/s41612-022-00298-8
154,Nature Climate Change,Nature Climate Change,"['Stuart Jenkins', 'Chris Smith', 'Myles Allen', 'Roy Grainger']",2023,10.1038/s41558-022-01568-2
155,Journal of Climate,Journal of Climate,"['Zhen Lv', 'Jun-Chao Yang', 'Xiaopei Lin', 'Yu Zhang']",2022,10.1175/JCLI-D-21-0957.1
156,Advances in Atmospheric Sciences,Advances in Atmospheric Sciences,"['Hong-Li Ren', 'Qing Bao', 'Chenguang Zhou', 'Jie Wu', 'Li Gao', 'Lin Wang', 'Jieru Ma', 'Yao Tang', 'Yangke Liu', 'Yujun Wang', 'Zuosen Zhao']",2023,10.1007/s00376-023-2335-z
157,Nature Communications,Nature Communications,"['Enda Zhu', 'Xing Yuan', 'Andrew W. Wood']",2019,10.1038/s41467-019-09245-3
158,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Rémy Bonnet', 'Olivier Boucher', 'Julie Deshayes', 'Guillaume Gastineau', 'Frédéric Hourdin', 'Juliette Mignot', 'Jérôme Servonnat', 'Didier Swingedouw']",2021,10.1029/2021MS002565
159,Climate Dynamics,Climate Dynamics,"['Yujun He', 'Bin Wang', 'Wenyu Huang', 'Shiming Xu', 'Yong Wang', 'Li Liu', 'Lijuan Li', 'Juanjuan Liu', 'Yongqiang Yu', 'Yanluan Lin', 'Xiaomeng Huang', 'Yiran Peng']",2020,10.1007/s00382-020-05190-w
160,Meteorology and Atmospheric Physics,Meteorology and Atmospheric Physics,"['Mengting Pan', 'Xiefei Zhi', 'Zhengyu Liu', 'Shoupeng Zhu', 'Yang Lyu', 'Dan Zhu']",2022,10.1007/s00703-022-00888-4
161,Climate Dynamics,Climate Dynamics,"['G. J. Boer', 'W. J. Merryfield', 'V. V. Kharin']",2019,10.1007/s00382-018-4417-7
162,Journal of Climate,Journal of Climate,"['Yoshimitsu Chikamoto', 'Axel Timmermann', 'Matthew J. Widlansky', 'Shaoqing Zhang', 'Magdalena A. Balmaseda']",2019,10.1175/JCLI-D-18-0788.1
163,Environmental Research Letters,Environmental Research Letters,"['Matthew B Menary', 'Juliette Mignot', 'Jon Robson']",2021,10.1088/1748-9326/ac06fb
164,Journal of Climate,Journal of Climate,"['Who M. Kim', 'Stephen Yeager', 'Gokhan Danabasoglu']",2020,10.1175/JCLI-D-19-0530.1
165,npj Climate and Atmospheric Science,npj Climate and Atmospheric Science,"['Shipra Jain', 'Adam A. Scaife', 'Theodore G. Shepherd', 'Clara Deser', 'Nick Dunstone', 'Gavin A. Schmidt', 'Kevin E. Trenberth', 'Thea Turkington']",2023,10.1038/s41612-023-00389-0
