,journal_title,article_title,contributors,year,doi
18,Earth System Science Data,Earth System Science Data,"['Pierre Friedlingstein', 'Matthew W. Jones', ""Michael O'Sullivan"", 'Robbie M. Andrew', 'Dorothee C. E. Bakker', 'Judith Hauck', 'Corinne Le Quéré', 'Glen P. Peters', 'Wouter Peters', 'Julia Pongratz', 'Stephen Sitch', 'Josep G. Canadell', 'Philippe Ciais', 'Rob B. Jackson', 'Simone R. Alin', 'Peter Anthoni', 'Nicholas R. Bates', 'Meike Becker', 'Nicolas Bellouin', 'Laurent Bopp', 'Thi Tuyet Trang Chau', 'Frédéric Chevallier', 'Louise P. Chini', 'Margot Cronin', 'Kim I. Currie', 'Bertrand Decharme', 'Laique M. Djeutchouang', 'Xinyu Dou', 'Wiley Evans', 'Richard A. Feely', 'Liang Feng', 'Thomas Gasser', 'Dennis Gilfillan', 'Thanos Gkritzalis', 'Giacomo Grassi', 'Luke Gregor', 'Nicolas Gruber', 'Özgür Gürses', 'Ian Harris', 'Richard A. Houghton', 'George C. Hurtt', 'Yosuke Iida', 'Tatiana Ilyina', 'Ingrid T. Luijkx', 'Atul Jain', 'Steve D. Jones', 'Etsushi Kato', 'Daniel Kennedy', 'Kees Klein Goldewijk', 'Jürgen Knauer', 'Jan Ivar Korsbakken', 'Arne Körtzinger', 'Peter Landschützer', 'Siv K. Lauvset', 'Nathalie Lefèvre', 'Sebastian Lienert', 'Junjie Liu', 'Gregg Marland', 'Patrick C. McGuire', 'Joe R. Melton', 'David R. Munro', 'Julia E. M. S. Nabel', 'Shin-Ichiro Nakaoka', 'Yosuke Niwa', 'Tsuneo Ono', 'Denis Pierrot', 'Benjamin Poulter', 'Gregor Rehder', 'Laure Resplandy', 'Eddy Robertson', 'Christian Rödenbeck', 'Thais M. Rosan', 'Jörg Schwinger', 'Clemens Schwingshackl', 'Roland Séférian', 'Adrienne J. Sutton', 'Colm Sweeney', 'Toste Tanhua', 'Pieter P. Tans', 'Hanqin Tian', 'Bronte Tilbrook', 'Francesco Tubiello', 'Guido R. van der Werf', 'Nicolas Vuichard', 'Chisato Wada', 'Rik Wanninkhof', 'Andrew J. Watson', 'David Willis', 'Andrew J. Wiltshire', 'Wenping Yuan', 'Chao Yue', 'Xu Yue', 'Sönke Zaehle', 'Jiye Zeng']",2022,10.5194/essd-14-1917-2022
19,Geoscientific Model Development,Geoscientific Model Development,"['James R. Christian', 'Kenneth L. Denman', 'Hakase Hayashida', 'Amber M. Holdsworth', 'Warren G. Lee', 'Olivier G. J. Riche', 'Andrew E. Shao', 'Nadja Steiner', 'Neil C. Swart']",2022,10.5194/gmd-15-4393-2022
20,Climate of the Past,Climate of the Past,"['Aurich Jeltsch-Thömmes', 'Gianna Battaglia', 'Olivier Cartapanis', 'Samuel L. Jaccard', 'Fortunat Joos']",2019,10.5194/cp-15-849-2019
21,Geoscientific Model Development,Geoscientific Model Development,"['Jerry F. Tjiputra', 'Jörg Schwinger', 'Mats Bentsen', 'Anne L. Morée', 'Shuang Gao', 'Ingo Bethke', 'Christoph Heinze', 'Nadine Goris', 'Alok Gupta', 'Yan-Chun He', 'Dirk Olivié', 'Øyvind Seland', 'Michael Schulz']",2020,10.5194/gmd-13-2393-2020
22,Biogeosciences,Biogeosciences,"['Jamie D. Wilson', 'Stephen Barker', 'Neil R. Edwards', 'Philip B. Holden', 'Andy Ridgwell']",2019,10.5194/bg-16-2923-2019
23,Nature Communications,Nature Communications,"['Pearse J. Buchanan', 'Zanna Chase', 'Richard J. Matear', 'Steven J. Phipps', 'Nathaniel L. Bindoff']",2019,10.1038/s41467-019-12549-z
24,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,['Samar Khatiwala'],2023,10.1029/2022MS003447
25,Nature Geoscience,Nature Geoscience,"['D. Atamanchuk', 'J. Koelling', 'U. Send', 'D. W. R. Wallace']",2020,10.1038/s41561-020-0532-2
26,Biogeosciences,Biogeosciences,"['Virginie Racapé', 'Patricia Zunino', 'Herlé Mercier', 'Pascale Lherminier', 'Laurent Bopp', 'Fiz F. Pérèz', 'Marion Gehlen']",2018,10.5194/bg-15-4661-2018
27,Geoscientific Model Development,Geoscientific Model Development,"['Neil C. Swart', 'Jason N. S. Cole', 'Viatcheslav V. Kharin', 'Mike Lazare', 'John F. Scinocca', 'Nathan P. Gillett', 'James Anstey', 'Vivek Arora', 'James R. Christian', 'Sarah Hanna', 'Yanjun Jiao', 'Warren G. Lee', 'Fouad Majaess', 'Oleg A. Saenko', 'Christian Seiler', 'Clint Seinen', 'Andrew Shao', 'Michael Sigmond', 'Larry Solheim', 'Knut von Salzen', 'Duo Yang', 'Barbara Winter']",2019,10.5194/gmd-12-4823-2019
28,Marine Chemistry,Marine Chemistry,"['Neal Bailey', 'Tim N. Papakyriakou', 'Carl Bartels', 'Feiyue Wang']",2018,10.1016/j.marchem.2018.10.003
29,book,Observing Marine Inorganic Carbon,['various'],2023,10.1021/acsinfocus.7e7010
30,Biogeosciences,Biogeosciences,"['Alban Planchat', 'Lester Kwiatkowski', 'Laurent Bopp', 'Olivier Torres', 'James R. Christian', 'Momme Butenschön', 'Tomas Lovato', 'Roland Séférian', 'Matthew A. Chamberlain', 'Olivier Aumont', 'Michio Watanabe', 'Akitomo Yamamoto', 'Andrew Yool', 'Tatiana Ilyina', 'Hiroyuki Tsujino', 'Kristen M. Krumhardt', 'Jörg Schwinger', 'Jerry Tjiputra', 'John P. Dunne', 'Charles Stock']",2023,10.5194/bg-20-1195-2023
31,Asia-Pacific Journal of Atmospheric Sciences,Asia-Pacific Journal of Atmospheric Sciences,"['Hyomee Lee', 'Byung-Kwon Moon', 'Hyun-Chae Jung', 'Jong-Yeon Park', 'Sungbo Shim', 'Nary La', 'Ah-Hyun Kim', 'Seong Soo Yum', 'Jong-Chul Ha', 'Young-Hwa Byun', 'Hyun Min Sung', 'Johan Lee']",2022,10.1007/s13143-021-00263-0
32,Geoscientific Model Development,Geoscientific Model Development,"['Matteo Willeit', 'Tatiana Ilyina', 'Bo Liu', 'Christoph Heinze', 'Mahé Perrette', 'Malte Heinemann', 'Daniela Dalmonech', 'Victor Brovkin', 'Guy Munhoven', 'Janine Börker', 'Jens Hartmann', 'Gibran Romero-Mujalli', 'Andrey Ganopolski']",2023,10.5194/gmd-16-3501-2023
33,Geophysical Research Letters,Geophysical Research Letters,"['Samar Khatiwala', 'Heather Graven', 'Sarah Payne', 'Patrick Heimbach']",2018,10.1029/2018GL078172
34,Global Biogeochemical Cycles,Global Biogeochemical Cycles,"['P. J. Buchanan', 'R. J. Matear', 'Z. Chase', 'S. J. Phipps', 'N. L. Bindoff']",2018,10.1002/2017GB005753
35,Reviews in Aquaculture,Reviews in Aquaculture,"['Killian Chary', 'Daniele Brigolin', 'Myriam D. Callier']",2022,10.1111/raq.12695
36,Geoscientific Model Development,Geoscientific Model Development,"['Chia-Te Chien', 'Jonathan V. Durgadoo', 'Dana Ehlert', 'Ivy Frenger', 'David P. Keller', 'Wolfgang Koeve', 'Iris Kriest', 'Angela Landolfi', 'Lavinia Patara', 'Sebastian Wahl', 'Andreas Oschlies']",2022,10.5194/gmd-15-5987-2022
37,Progress in Earth and Planetary Science,Progress in Earth and Planetary Science,"['Prabir K. Patra', 'Tomohiro Hajima', 'Ryu Saito', 'Naveen Chandra', 'Yukio Yoshida', 'Kazuhito Ichii', 'Michio Kawamiya', 'Masayuki Kondo', 'Akihiko Ito', 'David Crisp']",2021,10.1186/s40645-021-00420-z
38,Journal of Geophysical Research: Oceans,Journal of Geophysical Research: Oceans,"['Graham J. Rickard', 'Erik Behrens', 'Angela A. Bahamondes Dominguez', 'Matt H. Pinkerton']",2023,10.1029/2022JC018880
39,Science Advances,Science Advances,"['Akitomo Yamamoto', 'Tomohiro Hajima', 'Dai Yamazaki', 'Maki Noguchi Aita', 'Akinori Ito', 'Michio Kawamiya']",2022,10.1126/sciadv.abl9207
40,Journal of Southern Hemisphere Earth Systems Science,Journal of Southern Hemisphere Earth Systems Science,"['C. Mackallah', 'M. A. Chamberlain', 'R. M. Law', 'M. Dix', 'T. Ziehn', 'D. Bi', 'R. Bodman', 'J. R. Brown', 'P. Dobrohotoff', 'K. Druken', 'B. Evans', 'I. N. Harman', 'H. Hayashida', 'R. Holmes', 'A. E. Kiss', 'A. Lenton', 'Y. Liu', 'S. Marsland', 'K. Meissner', 'L. Menviel', 'S. O’Farrell', 'H. A. Rashid', 'S. Ridzwan', 'A. Savita', 'J. Srbinovsky', 'A. Sullivan', 'C. Trenham', 'P. F. Vohralik', 'Y.-P. Wang', 'G. Williams', 'M. T. Woodhouse', 'N. Yeung']",2022,10.1071/ES21031
41,Biogeosciences,Biogeosciences,"['Jens Terhaar', 'Thomas L. Frölicher', 'Fortunat Joos']",2022,10.5194/bg-19-4431-2022
42,Earth System Science Data,Earth System Science Data,"['Pierre Friedlingstein', ""Michael O'Sullivan"", 'Matthew W. Jones', 'Robbie M. Andrew', 'Luke Gregor', 'Judith Hauck', 'Corinne Le Quéré', 'Ingrid T. Luijkx', 'Are Olsen', 'Glen P. Peters', 'Wouter Peters', 'Julia Pongratz', 'Clemens Schwingshackl', 'Stephen Sitch', 'Josep G. Canadell', 'Philippe Ciais', 'Robert B. Jackson', 'Simone R. Alin', 'Ramdane Alkama', 'Almut Arneth', 'Vivek K. Arora', 'Nicholas R. Bates', 'Meike Becker', 'Nicolas Bellouin', 'Henry C. Bittig', 'Laurent Bopp', 'Frédéric Chevallier', 'Louise P. Chini', 'Margot Cronin', 'Wiley Evans', 'Stefanie Falk', 'Richard A. Feely', 'Thomas Gasser', 'Marion Gehlen', 'Thanos Gkritzalis', 'Lucas Gloege', 'Giacomo Grassi', 'Nicolas Gruber', 'Özgür Gürses', 'Ian Harris', 'Matthew Hefner', 'Richard A. Houghton', 'George C. Hurtt', 'Yosuke Iida', 'Tatiana Ilyina', 'Atul K. Jain', 'Annika Jersild', 'Koji Kadono', 'Etsushi Kato', 'Daniel Kennedy', 'Kees Klein Goldewijk', 'Jürgen Knauer', 'Jan Ivar Korsbakken', 'Peter Landschützer', 'Nathalie Lefèvre', 'Keith Lindsay', 'Junjie Liu', 'Zhu Liu', 'Gregg Marland', 'Nicolas Mayot', 'Matthew J. McGrath', 'Nicolas Metzl', 'Natalie M. Monacci', 'David R. Munro', 'Shin-Ichiro Nakaoka', 'Yosuke Niwa', ""Kevin O'Brien"", 'Tsuneo Ono', 'Paul I. Palmer', 'Naiqing Pan', 'Denis Pierrot', 'Katie Pocock', 'Benjamin Poulter', 'Laure Resplandy', 'Eddy Robertson', 'Christian Rödenbeck', 'Carmen Rodriguez', 'Thais M. Rosan', 'Jörg Schwinger', 'Roland Séférian', 'Jamie D. Shutler', 'Ingunn Skjelvan', 'Tobias Steinhoff', 'Qing Sun', 'Adrienne J. Sutton', 'Colm Sweeney', 'Shintaro Takao', 'Toste Tanhua', 'Pieter P. Tans', 'Xiangjun Tian', 'Hanqin Tian', 'Bronte Tilbrook', 'Hiroyuki Tsujino', 'Francesco Tubiello', 'Guido R. van der Werf', 'Anthony P. Walker', 'Rik Wanninkhof', 'Chris Whitehead', 'Anna Willstrand Wranne', 'Rebecca Wright', 'Wenping Yuan', 'Chao Yue', 'Xu Yue', 'Sönke Zaehle', 'Jiye Zeng', 'Bo Zheng']",2022,10.5194/essd-14-4811-2022
43,Geoscientific Model Development,Geoscientific Model Development,"['Hiroyuki Tsujino', 'L. Shogo Urakawa', 'Stephen M. Griffies', 'Gokhan Danabasoglu', 'Alistair J. Adcroft', 'Arthur E. Amaral', 'Thomas Arsouze', 'Mats Bentsen', 'Raffaele Bernardello', 'Claus W. Böning', 'Alexandra Bozec', 'Eric P. Chassignet', 'Sergey Danilov', 'Raphael Dussin', 'Eleftheria Exarchou', 'Pier Giuseppe Fogli', 'Baylor Fox-Kemper', 'Chuncheng Guo', 'Mehmet Ilicak', 'Doroteaciro Iovino', 'Who M. Kim', 'Nikolay Koldunov', 'Vladimir Lapin', 'Yiwen Li', 'Pengfei Lin', 'Keith Lindsay', 'Hailong Liu', 'Matthew C. Long', 'Yoshiki Komuro', 'Simon J. Marsland', 'Simona Masina', 'Aleksi Nummelin', 'Jan Klaus Rieck', 'Yohan Ruprich-Robert', 'Markus Scheinert', 'Valentina Sicardi', 'Dmitry Sidorenko', 'Tatsuo Suzuki', 'Hiroaki Tatebe', 'Qiang Wang', 'Stephen G. Yeager', 'Zipeng Yu']",2020,10.5194/gmd-13-3643-2020
44,Global Biogeochemical Cycles,Global Biogeochemical Cycles,"['Robyn E. Tuerena', 'Jo Hopkins', 'Pearse J. Buchanan', 'Raja S. Ganeshram', 'Louisa Norman', 'Wilken‐Jon von Appen', 'Alessandro Tagliabue', 'Antonia Doncila', 'Martin Graeve', 'Kai U. Ludwichowski', 'Paul A. Dodd', 'Camille de la Vega', 'Ian Salter', 'Claire Mahaffey']",2021,10.1029/2021GB006961
45,Frontiers in Marine Science,Frontiers in Marine Science,"['René Friedland', 'Diego Macias', 'Gianpiero Cossarini', 'Ute Daewel', 'Claude Estournel', 'Elisa Garcia-Gorriz', 'Bruna Grizzetti', 'Marilaure Grégoire', 'Bo Gustafson', 'Sofia Kalaroni', 'Onur Kerimoglu', 'Paolo Lazzari', 'Hermann Lenhart', 'Gennadi Lessin', 'Ilja Maljutenko', 'Svetla Miladinova', 'Bärbel Müller-Karulis', 'Thomas Neumann', 'Ove Parn', 'Johannes Pätsch', 'Chiara Piroddi', 'Urmas Raudsepp', 'Corinna Schrum', 'Christoph Stegert', 'Adolf Stips', 'Kostas Tsiaras', 'Caroline Ulses', 'Luc Vandenbulcke']",2021,10.3389/fmars.2021.596126
46,Biogeosciences,Biogeosciences,"['Lester Kwiatkowski', 'Olivier Torres', 'Laurent Bopp', 'Olivier Aumont', 'Matthew Chamberlain', 'James R. Christian', 'John P. Dunne', 'Marion Gehlen', 'Tatiana Ilyina', 'Jasmin G. John', 'Andrew Lenton', 'Hongmei Li', 'Nicole S. Lovenduski', 'James C. Orr', 'Julien Palmieri', 'Yeray Santana-Falcón', 'Jörg Schwinger', 'Roland Séférian', 'Charles A. Stock', 'Alessandro Tagliabue', 'Yohei Takano', 'Jerry Tjiputra', 'Katsuya Toyama', 'Hiroyuki Tsujino', 'Michio Watanabe', 'Akitomo Yamamoto', 'Andrew Yool', 'Tilo Ziehn']",2020,10.5194/bg-17-3439-2020
47,Geoscientific Model Development,Geoscientific Model Development,"['Øyvind Seland', 'Mats Bentsen', 'Dirk Olivié', 'Thomas Toniazzo', 'Ada Gjermundsen', 'Lise Seland Graff', 'Jens Boldingh Debernard', 'Alok Kumar Gupta', 'Yan-Chun He', 'Alf Kirkevåg', 'Jörg Schwinger', 'Jerry Tjiputra', 'Kjetil Schanke Aas', 'Ingo Bethke', 'Yuanchao Fan', 'Jan Griesfeller', 'Alf Grini', 'Chuncheng Guo', 'Mehmet Ilicak', 'Inger Helene Hafsahl Karset', 'Oskar Landgren', 'Johan Liakka', 'Kine Onsum Moseid', 'Aleksi Nummelin', 'Clemens Spensberger', 'Hui Tang', 'Zhongshi Zhang', 'Christoph Heinze', 'Trond Iversen', 'Michael Schulz']",2020,10.5194/gmd-13-6165-2020
48,Biogeosciences,Biogeosciences,"['Bo Liu', 'Katharina D. Six', 'Tatiana Ilyina']",2021,10.5194/bg-18-4389-2021
49,Geoscientific Model Development,Geoscientific Model Development,"['Jennifer E. Dentith', 'Ruza F. Ivanovic', 'Lauren J. Gregoire', 'Julia C. Tindall', 'Laura F. Robinson']",2020,10.5194/gmd-13-3529-2020
50,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Paul Lerner', 'Anastasia Romanou', 'Maxwell Kelley', 'Joy Romanski', 'Reto Ruedy', 'Gary Russell']",2021,10.1029/2019MS002028
51,Climate of the Past,Climate of the Past,"['Ashley Dinauer', 'Florian Adolphi', 'Fortunat Joos']",2020,10.5194/cp-16-1159-2020
52,Global Biogeochemical Cycles,Global Biogeochemical Cycles,"['Fabrice Lacroix', 'Tatiana Ilyina', 'Goulven G. Laruelle', 'Pierre Regnier']",2021,10.1029/2020GB006603
53,Journal of Geophysical Research: Oceans,Journal of Geophysical Research: Oceans,"['Weiwei Fu', 'J. Keith Moore', 'Francois Primeau', 'Nathan Collier', 'Oluwaseun O. Ogunro', 'Forrest M. Hoffman', 'James T. Randerson']",2022,10.1029/2022JC018965
54,Biogeosciences,Biogeosciences,"['Iris Kriest', 'Julia Getzlaff', 'Angela Landolfi', 'Volkmar Sauerland', 'Markus Schartau', 'Andreas Oschlies']",2023,10.5194/bg-20-2645-2023
55,Ocean Science,Ocean Science,"['Alice Marzocchi', 'A. J. George Nurser', 'Louis Clément', 'Elaine L. McDonagh']",2021,10.5194/os-17-935-2021
56,Ambio,Ambio,"['Pearse James Buchanan', 'Alessandro Tagliabue', 'Camille de la Vega', 'Claire Mahaffey']",2022,10.1007/s13280-021-01635-6
57,Frontiers in Climate,Frontiers in Climate,"['Daniel J. Burt', 'Friederike Fröb', 'Tatiana Ilyina']",2021,10.3389/fclim.2021.624075
58,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['L. Gloege', 'M. Yan', 'T. Zheng', 'G. A. McKinley']",2022,10.1029/2021MS002620
59,Earth-Science Reviews,Earth-Science Reviews,"['Andreas Mackensen', 'Gerhard Schmiedl']",2019,10.1016/j.earscirev.2019.102893
60,Ocean Science,Ocean Science,"['Stelios Myriokefalitakis', 'Matthias Gröger', 'Jenny Hieronymus', 'Ralf Döscher']",2020,10.5194/os-16-1183-2020
61,Biogeosciences,Biogeosciences,"['Ulrike Löptien', 'Heiner Dietze']",2019,10.5194/bg-16-1865-2019
