,journal_title,article_title,contributors,year,doi
30,Frontiers in Marine Science,Frontiers in Marine Science,"['Eric C. J. Oliver', 'Michael T. Burrows', 'Markus G. Donat', 'Alex Sen Gupta', 'Lisa V. Alexander', 'Sarah E. Perkins-Kirkpatrick', 'Jessica A. Benthuysen', 'Alistair J. Hobday', 'Neil J. Holbrook', 'Pippa J. Moore', 'Mads S. Thomsen', 'Thomas Wernberg', 'Dan A. Smale']",2019,10.3389/fmars.2019.00734
31,Environmental Modelling & Software,Environmental Modelling & Software,"['Francisco Estrada', 'Oscar Calderón-Bustamante', 'Wouter Botzen', 'Julián A. Velasco', 'Richard S.J. Tol']",2022,10.1016/j.envsoft.2022.105528
32,Climate Dynamics,Climate Dynamics,"['Kevin J. Tory', 'H. Ye', 'R. A. Dare']",2018,10.1007/s00382-017-3752-4
33,Climate Dynamics,Climate Dynamics,"['Tiejun Xie', 'Jianping Li', 'Kaiqi Chen', 'Yazhou Zhang', 'Cheng Sun']",2021,10.1007/s00382-021-05643-w
34,Simulations and Uncertainty of Historical and Projected Flow Duration Curves Using Dynamically Downscaled GCMs,World Environmental and Water Resources Congress 2019,['Joseph A. Daraio'],2019,10.1061/9780784482346.025
35,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['Pang-chi Hsu', 'Tim Li', 'Hiroyuki Murakami', 'Akio Kitoh']",2013,10.1002/jgrd.50145
36,Climate Dynamics,Climate Dynamics,"['B. Preethi', 'M. Mujumdar', 'R. H. Kripalani', 'Amita Prabhu', 'R. Krishnan']",2017,10.1007/s00382-016-3218-0
37,Ecological Modelling,Ecological Modelling,"['Prasanth Meiyappan', 'Michael Dalton', 'Brian C. O’Neill', 'Atul K. Jain']",2014,10.1016/j.ecolmodel.2014.07.027
38,Climate Dynamics,Climate Dynamics,"['José A. Posada-Marín', 'Angela M. Rendón', 'Juan F. Salazar', 'John F. Mejía', 'Juan Camilo Villegas']",2019,10.1007/s00382-018-4403-0
39,Frontiers in Marine Science,Frontiers in Marine Science,"['Mingyue Liu', 'Ru Chen', 'Wenting Guan', 'Hong Zhang', 'Tian Jing']",2023,10.3389/fmars.2023.1137216
40,Advances in Meteorology,Advances in Meteorology,"['Jacob Agyekum', 'Thompson Annor', 'Benjamin Lamptey', 'Emmannuel Quansah', 'Richard Yao Kuma Agyeman']",2018,10.1155/2018/4853681
41,Theoretical and Applied Climatology,Theoretical and Applied Climatology,"['Jiawei Bao', 'Jinming Feng']",2016,10.1007/s00704-014-1349-y
42,Journal of Climate,Journal of Climate,"['Laurie Agel', 'Mathew Barlow']",2020,10.1175/JCLI-D-19-1025.1
43,Geophysical Research Letters,Geophysical Research Letters,['Stephen J. Vavrus'],2013,10.1002/2013GL058161
44,Environmental Research Letters,Environmental Research Letters,"['B Sultan', 'K Guan', 'M Kouressy', 'M Biasutti', 'C Piani', 'G L Hammer', 'G McLean', 'D B Lobell']",2014,10.1088/1748-9326/9/10/104006
45,Journal of Hydrometeorology,Journal of Hydrometeorology,"['James Knighton', 'Geoff Pleiss', 'Elizabeth Carter', 'Steven Lyon', 'M. Todd Walter', 'Scott Steinschneider']",2019,10.1175/JHM-D-18-0196.1
46,Journal of Mountain Science,Journal of Mountain Science,"['Jiang-ping Zhu', 'Ai-hong Xie', 'Xiang Qin', 'Bing Xu']",2023,10.1007/s11629-022-7646-5
47,Climate Dynamics,Climate Dynamics,"['Iuliia Polkova', 'Armin Köhl', 'Detlef Stammer']",2019,10.1007/s00382-019-04975-y
48,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['I‐Kuan Hu', 'Brian E. Mapes', 'Stefan N. Tulich', 'Richard B. Neale', 'Andrew Gettelman', 'Kevin A. Reed']",2022,10.1029/2021MS002826
49,Journal of Climate,Journal of Climate,"['Jonghun Kam', 'Justin Sheffield', 'Xing Yuan', 'Eric F. Wood']",2013,10.1175/JCLI-D-12-00244.1
50,Environmental Research Letters,Environmental Research Letters,"['K Caldeira', 'N P Myhrvold']",2013,10.1088/1748-9326/8/3/034039
51,Hydrology and Earth System Sciences,Hydrology and Earth System Sciences,"['C. Funk', 'A. Hoell', 'S. Shukla', 'I. Bladé', 'B. Liebmann', 'J. B. Roberts', 'F. R. Robertson', 'G. Husak']",2014,10.5194/hess-18-4965-2014
52,npj Climate and Atmospheric Science,npj Climate and Atmospheric Science,"['Neil C. Swart', 'Julius Busecke', 'Gaby Langendijk', 'Kevin A. Reed', 'Sarah M. Kang', 'Erik Behrens', 'Ariane Frassoni', 'Noel C. Baker', 'Jonathan V. Durgadoo', 'Victor N. Dike', 'Debashis Nath']",2018,10.1038/s41612-018-0015-y
53,Journal of Hydrology,Journal of Hydrology,"['Corey D. Wallace', 'Ryan T. Bailey', 'Mazdak Arabi']",2015,10.1016/j.jhydrol.2015.08.006
54,Science China Earth Sciences,Science China Earth Sciences,"['Jianglin Wang', 'Bao Yang', 'Jingyun Zheng', 'Xuezhen Zhang', 'Zhiyuan Wang', 'Miao Fang', 'Feng Shi', 'Jingjing Liu']",2020,10.1007/s11430-019-9607-x
55,Journal of Climate,Journal of Climate,"['Linda Hirons', 'Andrew Turner']",2018,10.1175/JCLI-D-17-0804.1
56,Earth's Future,Earth's Future,"['Lei Gu', 'Jie Chen', 'Jiabo Yin', 'Chong‐Yu Xu', 'Jianzhong Zhou']",2020,10.1029/2020EF001718
