,journal_title,article_title,contributors,year,doi
150,Ocean-Land-Atmosphere Research,Ocean-Land-Atmosphere Research,"['Qiang Wang', 'Qi Shu', 'Shizhu Wang', 'Agnieszka Beszczynska-Moeller', 'Sergey Danilov', 'Laura Steur', 'Thomas W. N. Haine', 'Michael Karcher', 'Craig M. Lee', 'Paul G. Myers', 'Igor V. Polyakov', 'Christine Provost', 'Øystein Skagseth', 'Gunnar Spreen', 'Rebecca Woodgate']",2023,10.34133/olar.0013
151,Journal of Geophysical Research: Oceans,Journal of Geophysical Research: Oceans,"['Christina Schmidt', 'Adele K. Morrison', 'Matthew H. England']",2023,10.1029/2023JC019774
152,Geoscientific Model Development,Geoscientific Model Development,"['Venkatramani Balaji', 'Karl E. Taylor', 'Martin Juckes', 'Bryan N. Lawrence', 'Paul J. Durack', 'Michael Lautenschlager', 'Chris Blanton', 'Luca Cinquini', 'Sébastien Denvil', 'Mark Elkington', 'Francesca Guglielmo', 'Eric Guilyardi', 'David Hassell', 'Slava Kharin', 'Stefan Kindermann', 'Sergey Nikonov', 'Aparna Radhakrishnan', 'Martina Stockhause', 'Tobias Weigel', 'Dean Williams']",2018,10.5194/gmd-11-3659-2018
153,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Luke Van Roekel', 'Alistair J. Adcroft', 'Gokhan Danabasoglu', 'Stephen M. Griffies', 'Brian Kauffman', 'William Large', 'Michael Levy', 'Brandon G. Reichl', 'Todd Ringler', 'Martin Schmidt']",2018,10.1029/2018MS001336
154,Geophysical Research Letters,Geophysical Research Letters,"['Matthew B. Menary', 'Laura C. Jackson', 'M. Susan Lozier']",2020,10.1029/2020GL089793
155,Climate Dynamics,Climate Dynamics,"['Yuchao Zhu', 'Rong-Hua Zhang', 'Delei Li']",2022,10.1007/s00382-021-05946-y
156,Ocean Modelling,Ocean Modelling,"['Christopher Danek', 'Patrick Scholz', 'Gerrit Lohmann']",2023,10.1016/j.ocemod.2023.102170
157,Advances in Atmospheric Sciences,Advances in Atmospheric Sciences,"['Xiao Dong', 'Jiangbo Jin', 'Hailong Liu', 'He Zhang', 'Minghua Zhang', 'Pengfei Lin', 'Qingcun Zeng', 'Guangqing Zhou', 'Yongqiang Yu', 'Mirong Song', 'Zhaohui Lin', 'Ruxu Lian', 'Xin Gao', 'Juanxiong He', 'Dongling Zhang', 'Kangjun Chen']",2021,10.1007/s00376-020-0150-3
158,Acta Oceanologica Sinica,Acta Oceanologica Sinica,"['Qi Shu', 'Zhenya Song', 'Ying Bao', 'Xiaodan Yang', 'Yajuan Song', 'Xinfang Li', 'Meng Wei', 'Fangli Qiao']",2022,10.1007/s13131-022-2000-x
159,Earth System Dynamics,Earth System Dynamics,"['Laura A. McBride', 'Austin P. Hope', 'Timothy P. Canty', 'Brian F. Bennett', 'Walter R. Tribett', 'Ross J. Salawitch']",2021,10.5194/esd-12-545-2021
160,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Alistair Adcroft', 'Whit Anderson', 'V. Balaji', 'Chris Blanton', 'Mitchell Bushuk', 'Carolina O. Dufour', 'John P. Dunne', 'Stephen M. Griffies', 'Robert Hallberg', 'Matthew J. Harrison', 'Isaac M. Held', 'Malte F. Jansen', 'Jasmin G. John', 'John P. Krasting', 'Amy R. Langenhorst', 'Sonya Legg', 'Zhi Liang', 'Colleen McHugh', 'Aparna Radhakrishnan', 'Brandon G. Reichl', 'Tony Rosati', 'Bonita L. Samuels', 'Andrew Shao', 'Ronald Stouffer', 'Michael Winton', 'Andrew T. Wittenberg', 'Baoqiang Xiang', 'Niki Zadeh', 'Rong Zhang']",2019,10.1029/2019MS001726
161,Geoscience Data Journal,Geoscience Data Journal,"['Zebedee Nicholls', 'Jared Lewis', 'Melissa Makin', 'Usha Nattala', 'Geordie Z. Zhang', 'Simon J. Mutch', 'Edoardo Tescari', 'Malte Meinshausen']",2021,10.1002/gdj3.113
162,Ocean Science,Ocean Science,"['Alice Marzocchi', 'A. J. George Nurser', 'Louis Clément', 'Elaine L. McDonagh']",2021,10.5194/os-17-935-2021
163,Environmental Data Science,Environmental Data Science,"['Fabrizio Falasca', 'Andrew Brettin', 'Laure Zanna', 'Stephen M. Griffies', 'Jianjun Yin', 'Ming Zhao']",2023,10.1017/eds.2023.10
