,journal_title,article_title,contributors,year,doi
64,Earth-Science Reviews,Earth-Science Reviews,"['Edward Hanna', 'Frank Pattyn', 'Francisco Navarro', 'Vincent Favier', 'Heiko Goelzer', 'Michiel R. van den Broeke', 'Miren Vizcaino', 'Pippa L. Whitehouse', 'Catherine Ritz', 'Kevin Bulthuis', 'Ben Smith']",2020,10.1016/j.earscirev.2019.102976
65,Climate Dynamics,Climate Dynamics,"['Matthew P. Couldrey', 'Jonathan M. Gregory', 'Fabio Boeira Dias', 'Peter Dobrohotoff', 'Catia M. Domingues', 'Oluwayemi Garuba', 'Stephen M. Griffies', 'Helmuth Haak', 'Aixue Hu', 'Masayoshi Ishii', 'Johann Jungclaus', 'Armin Köhl', 'Simon J. Marsland', 'Sayantani Ojha', 'Oleg A. Saenko', 'Abhishek Savita', 'Andrew Shao', 'Detlef Stammer', 'Tatsuo Suzuki', 'Alexander Todd', 'Laure Zanna']",2021,10.1007/s00382-020-05471-4
66,One Earth,One Earth,"['Mahlon C. Kennicutt', 'David Bromwich', 'Daniela Liggett', 'Birgit Njåstad', 'Lloyd Peck', 'Stephen R. Rintoul', 'Catherine Ritz', 'Martin J. Siegert', 'Alan Aitken', 'Cassandra M. Brooks', 'John Cassano', 'Sanjay Chaturvedi', 'Dake Chen', 'Klaus Dodds', 'Nicholas R. Golledge', 'Céline Le Bohec', 'Marcelo Leppe', 'Alison Murray', 'P. Chandrika Nath', 'Marilyn N. Raphael', 'Michelle Rogan-Finnemore', 'Dustin M. Schroeder', 'Lynne Talley', 'Tony Travouillon', 'David G. Vaughan', 'Lifan Wang', 'Allan T. Weatherwax', 'Huigen Yang', 'Steven L. Chown']",2019,10.1016/j.oneear.2019.08.014
67,The Cryosphere,The Cryosphere,"['Heiko Goelzer', 'Brice P. Y. Noël', 'Tamsin L. Edwards', 'Xavier Fettweis', 'Jonathan M. Gregory', 'William H. Lipscomb', 'Roderik S. W. van de Wal', 'Michiel R. van den Broeke']",2020,10.5194/tc-14-1747-2020
68,The Cryosphere,The Cryosphere,"['Torsten Albrecht', 'Ricarda Winkelmann', 'Anders Levermann']",2020,10.5194/tc-14-599-2020
69,The Cryosphere,The Cryosphere,"[""Sébastien Le clec'h"", 'Sylvie Charbit', 'Aurélien Quiquet', 'Xavier Fettweis', 'Christophe Dumas', 'Masa Kageyama', 'Coraline Wyard', 'Catherine Ritz']",2019,10.5194/tc-13-373-2019
70,The Cryosphere,The Cryosphere,"['Xavier Fettweis', 'Stefan Hofer', 'Uta Krebs-Kanzow', 'Charles Amory', 'Teruo Aoki', 'Constantijn J. Berends', 'Andreas Born', 'Jason E. Box', 'Alison Delhasse', 'Koji Fujita', 'Paul Gierz', 'Heiko Goelzer', 'Edward Hanna', 'Akihiro Hashimoto', 'Philippe Huybrechts', 'Marie-Luise Kapsch', 'Michalea D. King', 'Christoph Kittel', 'Charlotte Lang', 'Peter L. Langen', 'Jan T. M. Lenaerts', 'Glen E. Liston', 'Gerrit Lohmann', 'Sebastian H. Mernild', 'Uwe Mikolajewicz', 'Kameswarrao Modali', 'Ruth H. Mottram', 'Masashi Niwano', 'Brice Noël', 'Jonathan C. Ryan', 'Amy Smith', 'Jan Streffing', 'Marco Tedesco', 'Willem Jan van de Berg', 'Michiel van den Broeke', 'Roderik S. W. van de Wal', 'Leo van Kampenhout', 'David Wilton', 'Bert Wouters', 'Florian Ziemen', 'Tobias Zolles']",2020,10.5194/tc-14-3935-2020
71,The Cryosphere,The Cryosphere,"['John Erich Christian', 'Alexander A. Robel', 'Cristian Proistosescu', 'Gerard Roe', 'Michelle Koutnik', 'Knut Christianson']",2020,10.5194/tc-14-2515-2020
72,Polar Science,Polar Science,"['Martin Rückamp', 'Ralf Greve', 'Angelika Humbert']",2019,10.1016/j.polar.2018.12.003
73,The Cryosphere,The Cryosphere,"['Kristin Poinar', 'Lauren C. Andrews']",2021,10.5194/tc-15-1455-2021
74,Climate Dynamics,Climate Dynamics,"['Chii-Yun Tsai', 'Chris E. Forest', 'David Pollard']",2020,10.1007/s00382-020-05354-8
75,Climate Dynamics,Climate Dynamics,"['Qiwei Sun', 'Yan Du']",2023,10.1007/s00382-022-06385-z
76,The Cryosphere,The Cryosphere,"['Heiko Goelzer', 'Violaine Coulon', 'Frank Pattyn', 'Bas de Boer', 'Roderik van de Wal']",2020,10.5194/tc-14-833-2020
77,Journal of Glaciology,Journal of Glaciology,"['REGINE HOCK', 'ANDREW BLISS', 'BEN MARZEION', 'RIANNE H. GIESEN', 'YUKIKO HIRABAYASHI', 'MATTHIAS HUSS', 'VALENTINA RADIĆ', 'AIMÉE B. A. SLANGEN']",2019,10.1017/jog.2019.22
78,Advances in numerical modelling of the Antarctic ice sheet,Antarctic Climate Evolution,"['Martin Siegert', 'Nicholas R. Golledge']",2022,10.1016/B978-0-12-819109-5.00006-2
79,Geoscientific Model Development,Geoscientific Model Development,"['Eric Larour', 'Daniel Cheng', 'Gilberto Perez', 'Justin Quinn', 'Mathieu Morlighem', 'Bao Duong', 'Lan Nguyen', 'Kit Petrie', 'Silva Harounian', 'Daria Halkides', 'Wayne Hayes']",2017,10.5194/gmd-10-4393-2017
80,Nature Climate Change,Nature Climate Change,"['Thomas Slater', 'Anna E. Hogg', 'Ruth Mottram']",2020,10.1038/s41558-020-0893-y
81,Geoscientific Model Development,Geoscientific Model Development,"['Aurélien Quiquet', 'Christophe Dumas', 'Catherine Ritz', 'Vincent Peyaud', 'Didier M. Roche']",2018,10.5194/gmd-11-5003-2018
