,journal_title,article_title,contributors,year,doi
19,Elem Sci Anth,Elem Sci Anth,"['Benjamin Rabe', 'Céline Heuzé', 'Julia Regnery', 'Yevgeny Aksenov', 'Jacob Allerholt', 'Marylou Athanase', 'Youcheng Bai', 'Chris Basque', 'Dorothea Bauch', 'Till M. Baumann', 'Dake Chen', 'Sylvia T. Cole', 'Lisa Craw', 'Andrew Davies', 'Ellen Damm', 'Klaus Dethloff', 'Dmitry V. Divine', 'Francesca Doglioni', 'Falk Ebert', 'Ying-Chih Fang', 'Ilker Fer', 'Allison A. Fong', 'Rolf Gradinger', 'Mats A. Granskog', 'Rainer Graupner', 'Christian Haas', 'Hailun He', 'Yan He', 'Mario Hoppmann', 'Markus Janout', 'David Kadko', 'Torsten Kanzow', 'Salar Karam', 'Yusuke Kawaguchi', 'Zoe Koenig', 'Bin Kong', 'Richard A. Krishfield', 'Thomas Krumpen', 'David Kuhlmey', 'Ivan Kuznetsov', 'Musheng Lan', 'Georgi Laukert', 'Ruibo Lei', 'Tao Li', 'Sinhué Torres-Valdés', 'Lina Lin', 'Long Lin', 'Hailong Liu', 'Na Liu', 'Brice Loose', 'Xiaobing Ma', 'Rosalie McKay', 'Maria Mallet', 'Robbie D. C. Mallett', 'Wieslaw Maslowski', 'Christian Mertens', 'Volker Mohrholz', 'Morven Muilwijk', 'Marcel Nicolaus', 'Jeffrey K. O’Brien', 'Donald Perovich', 'Jian Ren', 'Markus Rex', 'Natalia Ribeiro', 'Annette Rinke', 'Janin Schaffer', 'Ingo Schuffenhauer', 'Kirstin Schulz', 'Matthew D. Shupe', 'William Shaw', 'Vladimir Sokolov', 'Anja Sommerfeld', 'Gunnar Spreen', 'Timothy Stanton', 'Mark Stephens', 'Jie Su', 'Natalia Sukhikh', 'Arild Sundfjord', 'Karolin Thomisch', 'Sandra Tippenhauer', 'John M. Toole', 'Myriel Vredenborg', 'Maren Walter', 'Hangzhou Wang', 'Lei Wang', 'Yuntao Wang', 'Manfred Wendisch', 'Jinping Zhao', 'Meng Zhou', 'Jialiang Zhu']",2022,10.1525/elementa.2021.00062
20,Earth System Dynamics,Earth System Dynamics,"['Aaron Spring', 'István Dunkl', 'Hongmei Li', 'Victor Brovkin', 'Tatiana Ilyina']",2021,10.5194/esd-12-1139-2021
21,Medical and Veterinary Entomology,Medical and Veterinary Entomology,"['M. B. Perez‐Martinez', 'D. A. Moo‐Llanes', 'C. N. Ibarra‐Cerdeña', 'D. Romero‐Salas', 'A. Cruz‐Romero', 'K. M. López‐Hernández', 'M. Aguilar‐Dominguez']",2023,10.1111/mve.12680
22,Environmental Research Letters,Environmental Research Letters,"['Thordis L Thorarinsdottir', 'Jana Sillmann', 'Marion Haugen', 'Nadine Gissibl', 'Marit Sandstad']",2020,10.1088/1748-9326/abc778
23,Climate Dynamics,Climate Dynamics,"['Jiao Li', 'Yang Zhao', 'Deliang Chen', 'Yanzhen Kang', 'Hui Wang']",2022,10.1007/s00382-021-06043-w
24,Environmental Science & Technology,Environmental Science & Technology,"['Xingcheng Lu', 'Dehao Yuan', 'Yiang Chen', 'Jimmy C.H. Fung', 'Wenkai Li', 'Alexis K.H. Lau']",2020,10.1021/acs.est.0c01068
25,Atmospheric Measurement Techniques,Atmospheric Measurement Techniques,"['Daniel Robbins', 'Caroline Poulsen', 'Steven Siems', 'Simon Proud']",2022,10.5194/amt-15-3031-2022
26,Earth System Dynamics,Earth System Dynamics,"['Hongmei Li', 'Tatiana Ilyina', 'Tammas Loughran', 'Aaron Spring', 'Julia Pongratz']",2023,10.5194/esd-14-101-2023
27,Geophysical Research Letters,Geophysical Research Letters,"['S. Fiedler', 'D. Putrasahan']",2021,10.1029/2020GL092142
28,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['J. H. Jungclaus', 'S. J. Lorenz', 'H. Schmidt', 'V. Brovkin', 'N. Brüggemann', 'F. Chegini', 'T. Crüger', 'P. De‐Vrese', 'V. Gayler', 'M. A. Giorgetta', 'O. Gutjahr', 'H. Haak', 'S. Hagemann', 'M. Hanke', 'T. Ilyina', 'P. Korn', 'J. Kröger', 'L. Linardakis', 'C. Mehlmann', 'U. Mikolajewicz', 'W. A. Müller', 'J. E. M. S. Nabel', 'D. Notz', 'H. Pohlmann', 'D. A. Putrasahan', 'T. Raddatz', 'L. Ramme', 'R. Redler', 'C. H. Reick', 'T. Riddick', 'T. Sam', 'R. Schneck', 'R. Schnur', 'M. Schupfner', 'J.‐S. Storch', 'F. Wachsmann', 'K.‐H. Wieners', 'F. Ziemen', 'B. Stevens', 'J. Marotzke', 'M. Claussen']",2022,10.1029/2021MS002813
