,journal_title,article_title,contributors,year,doi
46,Journal of Climate,Journal of Climate,"['Jia-Rui Shi', 'Shang-Ping Xie', 'Lynne D. Talley']",2018,10.1175/JCLI-D-18-0170.1
47,Journal of Climate,Journal of Climate,"['Kewei Lyu', 'Xuebin Zhang', 'John A. Church', 'Quran Wu']",2020,10.1175/JCLI-D-19-0478.1
48,Journal of Climate,Journal of Climate,"['Shineng Hu', 'Shang-Ping Xie', 'Wei Liu']",2020,10.1175/JCLI-D-19-0642.1
49,Nature Climate Change,Nature Climate Change,"['Kewei Lyu', 'Xuebin Zhang', 'John A. Church']",2021,10.1038/s41558-021-01151-1
50,Climate Dynamics,Climate Dynamics,"['Matthew P. Couldrey', 'Jonathan M. Gregory', 'Xiao Dong', 'Oluwayemi Garuba', 'Helmuth Haak', 'Aixue Hu', 'William J. Hurlin', 'Jiangbo Jin', 'Johann Jungclaus', 'Armin Köhl', 'Hailong Liu', 'Sayantani Ojha', 'Oleg A. Saenko', 'Abhishek Savita', 'Tatsuo Suzuki', 'Zipeng Yu', 'Laure Zanna']",2023,10.1007/s00382-022-06386-y
51,Climate Dynamics,Climate Dynamics,['Anne K. Pardaens'],2023,10.1007/s00382-023-06659-0
52,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Roland Séférian', 'Pierre Nabat', 'Martine Michou', 'David Saint‐Martin', 'Aurore Voldoire', 'Jeanne Colin', 'Bertrand Decharme', 'Christine Delire', 'Sarah Berthet', 'Matthieu Chevallier', 'Stephane Sénési', 'Laurent Franchisteguy', 'Jessica Vial', 'Marc Mallet', 'Emilie Joetzjer', 'Olivier Geoffroy', 'Jean‐François Guérémy', 'Marie‐Pierre Moine', 'Rym Msadek', 'Aurélien Ribes', 'Matthias Rocher', 'Romain Roehrig', 'David Salas‐y‐Mélia', 'Emilia Sanchez', 'Laurent Terray', 'Sophie Valcke', 'Robin Waldman', 'Olivier Aumont', 'Laurent Bopp', 'Julie Deshayes', 'Christian Éthé', 'Gurvan Madec']",2019,10.1029/2019MS001791
53,Geophysical Research Letters,Geophysical Research Letters,"['Matthew T. Luongo', 'Shang‐Ping Xie', 'Ian Eisenman', 'Yen‐Ting Hwang', 'Hung‐Yi Tseng']",2023,10.1029/2022GL100719
54,Nature,Nature,"['Ben Bronselaer', 'Laure Zanna']",2020,10.1038/s41586-020-2573-5
55,Ocean Science,Ocean Science,"['Charles E. Turner', 'Peter J. Brown', 'Kevin I. C. Oliver', 'Elaine L. McDonagh']",2022,10.5194/os-18-523-2022
56,Geophysical Research Letters,Geophysical Research Letters,"['Yusuke Ushijima', 'Hiroyuki Tsujino', 'Kei Sakamoto', 'Masayoshi Ishii', 'Tsuyoshi Koshiro', 'Naga Oshima']",2022,10.1029/2022GL099987
57,Progress in Earth and Planetary Science,Progress in Earth and Planetary Science,"['Tatsuo Suzuki', 'Hiroaki Tatebe']",2020,10.1186/s40645-020-00381-9
58,Journal of Climate,Journal of Climate,"['Fabio Boeira Dias', 'Catia M. Domingues', 'Simon J. Marsland', 'Stephen R. Rintoul', 'Petteri Uotila', 'Russell Fiedler', 'Mauricio M. Mata', 'Nathaniel L. Bindoff', 'Abhishek Savita']",2021,10.1175/JCLI-D-21-0161.1
59,Journal of Climate,Journal of Climate,"['Louis Clément', 'E. L. McDonagh', 'J. M. Gregory', 'Q. Wu', 'A. Marzocchi', 'J. D. Zika', 'A. J. G. Nurser']",2022,10.1175/JCLI-D-21-0793.1
60,Surveys in Geophysics,Surveys in Geophysics,"['Mark Carson', 'Kewei Lyu', 'Kristin Richter', 'Mélanie Becker', 'Catia M. Domingues', 'Weiqing Han', 'Laure Zanna']",2019,10.1007/s10712-019-09559-3
61,Geoscientific Model Development,Geoscientific Model Development,"['Maria-Vittoria Guarino', 'Louise C. Sime', 'David Schroeder', 'Grenville M. S. Lister', 'Rosalyn Hatcher']",2020,10.5194/gmd-13-139-2020
62,Climate Dynamics,Climate Dynamics,"['Oleg A. Saenko', 'Duo Yang', 'Paul G. Myers']",2017,10.1007/s00382-016-3495-7
63,Journal of Geophysical Research: Oceans,Journal of Geophysical Research: Oceans,"['R. L. Beadling', 'J. P. Krasting', 'S. M. Griffies', 'W. J. Hurlin', 'B. Bronselaer', 'J. L. Russell', 'G. A. MacGilchrist', 'J.‐E. Tesdal', 'M. Winton']",2022,10.1029/2021JC017608
64,Journal of Climate,Journal of Climate,"['Fabio Boeira Dias', 'R. Fiedler', 'S. J. Marsland', 'C. M. Domingues', 'L. Clément', 'S. R. Rintoul', 'E. L. Mcdonagh', 'M. M. Mata', 'A. Savita']",2020,10.1175/JCLI-D-19-1016.1
