,journal_title,article_title,contributors,year,doi
22,Quarterly Journal of the Royal Meteorological Society,Quarterly Journal of the Royal Meteorological Society,"['Christopher Eldred', 'Mark Taylor', 'Oksana Guba']",2022,10.1002/qj.4353
23,Earth and Space Science,Earth and Space Science,"['Zhonghua Zheng', 'Jeffrey H. Curtis', 'Yu Yao', 'Jessica T. Gasparik', 'Valentine G. Anantharaj', 'Lei Zhao', 'Matthew West', 'Nicole Riemer']",2021,10.1029/2020EA001500
24,Journal of Climate,Journal of Climate,"['Honghai Zhang', 'Richard Seager', 'Shang-Ping Xie']",2022,10.1175/JCLI-D-21-0870.1
25,Geoscientific Model Development,Geoscientific Model Development,"['Peng Zhang', 'Yanxu Zhang']",2022,10.5194/gmd-15-3587-2022
26,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['Jianfeng Li', 'Yun Qian', 'L. Ruby Leung', 'Xiaodong Chen', 'Zhao Yang', 'Zhe Feng']",2023,10.1029/2022JD037494
27,Journal of Geophysical Research: Space Physics,Journal of Geophysical Research: Space Physics,"['John M. C. Plane', 'Shane M. Daly', 'Wuhu Feng', 'Michael Gerding', 'Juan Carlos Gómez Martín']",2021,10.1029/2020JA028792
28,GeoHealth,GeoHealth,"['Sylvia G. Dee', 'Ebrahim Nabizadeh', 'Christine L. Nittrouer', 'Jane W. Baldwin', 'Chelsea Li', 'Lizzy Gaviria', 'Selena Guo', 'Karen Lu', 'Beck Miguel Saunders‐Shultz', 'Emily Gurwitz', 'Gargi Samarth', 'Kate R. Weinberger']",2022,10.1029/2022GH000595
29,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Xiaoning Wu', 'Kevin A. Reed', 'Christopher L. P. Wolfe', 'Gustavo M. Marques', 'Scott D. Bachman', 'Frank O. Bryan']",2021,10.1029/2020MS002418
30,Earth System Dynamics,Earth System Dynamics,"['Charles D. Koven', 'Vivek K. Arora', 'Patricia Cadule', 'Rosie A. Fisher', 'Chris D. Jones', 'David M. Lawrence', 'Jared Lewis', 'Keith Lindsay', 'Sabine Mathesius', 'Malte Meinshausen', 'Michael Mills', 'Zebedee Nicholls', 'Benjamin M. Sanderson', 'Roland Séférian', 'Neil C. Swart', 'William R. Wieder', 'Kirsten Zickfeld']",2022,10.5194/esd-13-885-2022
31,Geophysical Research Letters,Geophysical Research Letters,"['Xueqing Wang', 'Xiu‐Qun Yang']",2023,10.1029/2022GL100996
32,Environmental Research Communications,Environmental Research Communications,"['Ruyan Chen', 'Yan Du', 'Ying Zhang', 'Jianwei Chi']",2023,10.1088/2515-7620/acd1e7
33,Geoscientific Model Development,Geoscientific Model Development,['Swen Brands'],2022,10.5194/gmd-15-1375-2022
34,Ocean near-surface layers,Ocean Mixing,"['Baylor Fox-Kemper', 'Leah Johnson', 'Fangli Qiao']",2022,10.1016/B978-0-12-821512-8.00011-6
35,Biogeosciences,Biogeosciences,"['Rebecca M. Varney', 'Sarah E. Chadburn', 'Eleanor J. Burke', 'Peter M. Cox']",2022,10.5194/bg-19-4671-2022
36,Scientific Reports,Scientific Reports,"['Xudong Fan', 'Xijin Zhang', 'Allen Yu', 'Matthew Speitel', 'Xiong Yu']",2023,10.1038/s41598-023-33548-7
37,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Jennifer E. Kay', 'Patricia DeRepentigny', 'Marika M. Holland', 'David A. Bailey', 'Alice K. DuVivier', 'Ed Blanchard‐Wrigglesworth', 'Clara Deser', 'Alexandra Jahn', 'Hansi Singh', 'Madison M. Smith', 'Melinda A. Webster', 'Jim Edwards', 'Sun‐Seon Lee', 'Keith B. Rodgers', 'Nan Rosenbloom']",2022,10.1029/2021MS002679
38,Geoscientific Model Development,Geoscientific Model Development,"['Koichi Sakaguchi', 'L. Ruby Leung', 'Colin M. Zarzycki', 'Jihyeon Jang', 'Seth McGinnis', 'Bryce E. Harrop', 'William C. Skamarock', 'Andrew Gettelman', 'Chun Zhao', 'William J. Gutowski', 'Stephen Leak', 'Linda Mearns']",2023,10.5194/gmd-16-3029-2023
39,Journal of Geophysical Research: Oceans,Journal of Geophysical Research: Oceans,"['Madison M. Smith', 'Marika M. Holland', 'Alek A. Petty', 'Bonnie Light', 'David A. Bailey']",2022,10.1029/2022JC019044
40,Geophysical Research Letters,Geophysical Research Letters,"['John P. Dunne', 'Michael Winton', 'Julio Bacmeister', 'Gokhan Danabasoglu', 'Andrew Gettelman', 'Jean‐Christophe Golaz', 'Cecile Hannay', 'Gavin A. Schmidt', 'John P. Krasting', 'L. Ruby Leung', 'Larissa Nazarenko', 'Lori T. Sentman', 'Ronald J. Stouffer', 'Jonathan D. Wolfe']",2020,10.1029/2020GL088852
41,Journal of Geophysical Research: Oceans,Journal of Geophysical Research: Oceans,"['Marilyn N. Raphael', 'Mark S. Handcock', 'Marika M. Holland', 'Laura L. Landrum']",2020,10.1029/2020JC016459
42,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Adam R. Herrington', 'Peter H. Lauritzen', 'Marcus Lofverstrom', 'William H. Lipscomb', 'Andrew Gettelman', 'Mark A. Taylor']",2022,10.1029/2022MS003192
43,Nature Geoscience,Nature Geoscience,"['Robert J. Allen', 'Xueying Zhao', 'Cynthia A. Randles', 'Ryan J. Kramer', 'Bjørn H. Samset', 'Christopher J. Smith']",2023,10.1038/s41561-023-01144-z
44,Atmospheric Chemistry and Physics,Atmospheric Chemistry and Physics,"['Wenfu Tang', 'Simone Tilmes', 'David M. Lawrence', 'Fang Li', 'Cenlin He', 'Louisa K. Emmons', 'Rebecca R. Buchholz', 'Lili Xia']",2023,10.5194/acp-23-5467-2023
