,journal_title,article_title,contributors,year,doi
30,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,"['Haoran Zhou', 'Brent R. Helliker', 'Matthew Huber', 'Ashley Dicks', 'Erol Akçay']",2018,10.1073/pnas.1718988115
31,Earth's Future,Earth's Future,"['Robert Newton', 'Stephanie Pfirman', 'L. Bruno Tremblay', 'Patricia DeRepentigny']",2021,10.1029/2021EF001988
32,Climate Dynamics,Climate Dynamics,"['Donglin Guo', 'Huijun Wang']",2017,10.1007/s00382-016-3469-9
33,Science of The Total Environment,Science of The Total Environment,"['Sara Alibakhshi', 'Aarne Hovi', 'Miina Rautiainen']",2019,10.1016/j.scitotenv.2019.01.253
34,SOLA,SOLA,"['Kei Kawai', 'Hitoshi Matsui', 'Reiji Kimura', 'Masato Shinoda']",2021,10.2151/sola.2021-042
35,Biogeosciences,Biogeosciences,"['Ronny Meier', 'Edouard L. Davin', 'Quentin Lejeune', 'Mathias Hauser', 'Yan Li', 'Brecht Martens', 'Natalie M. Schultz', 'Shannon Sterling', 'Wim Thiery']",2018,10.5194/bg-15-4731-2018
36,Earth System Dynamics,Earth System Dynamics,"['Christopher M. Colose', 'Allegra N. LeGrande', 'Mathias Vuille']",2016,10.5194/esd-7-681-2016
37,Space Weather,Space Weather,"['P. C. Chamberlin', 'F. G. Eparvier', 'V. Knoer', 'H. Leise', 'A. Pankratz', 'M. Snow', 'B. Templeman', 'E. M. B. Thiemann', 'D. L. Woodraska', 'T. N. Woods']",2020,10.1029/2020SW002588
38,Scientific Reports,Scientific Reports,"['René M. van Westen', 'Henk A. Dijkstra', 'Carine G. van der Boog', 'Caroline A. Katsman', 'Rebecca K. James', 'Tjeerd J. Bouma', 'Olga Kleptsova', 'Roland Klees', 'Riccardo E. M. Riva', 'D. Cornelis Slobbe', 'Marcel Zijlema', 'Julie D. Pietrzak']",2020,10.1038/s41598-020-71563-0
39,Geophysical Research Letters,Geophysical Research Letters,"['J. D. Huba', 'R. Heelis', 'A. Maute']",2021,10.1029/2020GL092061
40,Journal of Geophysical Research: Oceans,Journal of Geophysical Research: Oceans,"['Ting Liu', 'Youmin Tang', 'Chunzai Wang', 'Xunshu Song']",2022,10.1029/2022JC019127
41,Journal of Geophysical Research: Oceans,Journal of Geophysical Research: Oceans,"['Sifan Gu', 'Zhengyu Liu', 'Lixin Wu']",2020,10.1029/2019JC015838
42,Journal of Physical Oceanography,Journal of Physical Oceanography,"['Stuart P. Bishop', 'Frank O. Bryan', 'R. Justin Small']",2015,10.1175/JPO-D-14-0157.1
43,Climate Dynamics,Climate Dynamics,"['Sang-Wook Yeh', 'Hyun-Su Jo', 'Seung-Hwon Hyun', 'Wenju Cai', 'Yoo-Geun Ham']",2021,10.1007/s00382-020-05530-w
44,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['Rui Huang', 'Wenshou Tian', 'Kai Qie', 'Fei Xie', 'Shiyan Zhang', 'Hongying Tian', 'Jiali Luo']",2021,10.1029/2021JD035156
