,journal_title,article_title,contributors,year,doi
25,Geoscientific Model Development,Geoscientific Model Development,"['Masa Kageyama', 'Samuel Albani', 'Pascale Braconnot', 'Sandy P. Harrison', 'Peter O. Hopcroft', 'Ruza F. Ivanovic', 'Fabrice Lambert', 'Olivier Marti', 'W. Richard Peltier', 'Jean-Yves Peterschmitt', 'Didier M. Roche', 'Lev Tarasov', 'Xu Zhang', 'Esther C. Brady', 'Alan M. Haywood', 'Allegra N. LeGrande', 'Daniel J. Lunt', 'Natalie M. Mahowald', 'Uwe Mikolajewicz', 'Kerim H. Nisancioglu', 'Bette L. Otto-Bliesner', 'Hans Renssen', 'Robert A. Tomas', 'Qiong Zhang', 'Ayako Abe-Ouchi', 'Patrick J. Bartlein', 'Jian Cao', 'Qiang Li', 'Gerrit Lohmann', 'Rumi Ohgaito', 'Xiaoxu Shi', 'Evgeny Volodin', 'Kohei Yoshida', 'Xiao Zhang', 'Weipeng Zheng']",2017,10.5194/gmd-10-4035-2017
26,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['R. Rios‐Berrios', 'B. Medeiros', 'G. H. Bryan']",2020,10.1029/2020MS002102
27,Geoscientific Model Development,Geoscientific Model Development,"['Yong Wang', 'Guang J. Zhang', 'Shaocheng Xie', 'Wuyin Lin', 'George C. Craig', 'Qi Tang', 'Hsi-Yen Ma']",2021,10.5194/gmd-14-1575-2021
28,Climate Dynamics,Climate Dynamics,"['Rebecca Jean Herman', 'Michela Biasutti', 'Yochanan Kushnir']",2023,10.1007/s00382-023-06755-1
29,Geoscientific Model Development,Geoscientific Model Development,"['Doug M. Smith', 'James A. Screen', 'Clara Deser', 'Judah Cohen', 'John C. Fyfe', 'Javier García-Serrano', 'Thomas Jung', 'Vladimir Kattsov', 'Daniela Matei', 'Rym Msadek', 'Yannick Peings', 'Michael Sigmond', 'Jinro Ukita', 'Jin-Ho Yoon', 'Xiangdong Zhang']",2019,10.5194/gmd-12-1139-2019
30,Journal of Climate,Journal of Climate,"['Jason Chalmers', 'Jennifer E. Kay', 'Eleanor A. Middlemas', 'Elizabeth A. Maroon', 'Pedro DiNezio']",2022,10.1175/JCLI-D-21-0391.1
31,Geophysical Research Letters,Geophysical Research Letters,"['Tomoki Tozuka', 'Pascal Oettli']",2018,10.1029/2018GL079869
32,Geoscientific Model Development,Geoscientific Model Development,"['Takuro Michibata', 'Kentaroh Suzuki', 'Tomoo Ogura', 'Xianwen Jing']",2019,10.5194/gmd-12-4297-2019
33,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['Mark D. Zelinka', 'Stephen A. Klein', 'Yi Qin', 'Timothy A. Myers']",2022,10.1029/2021JD035198
34,Journal of Climate,Journal of Climate,"['Nicholas Lewis', 'Thorsten Mauritsen']",2021,10.1175/JCLI-D-19-0941.1
35,Atmosphere,Atmosphere,"['William K. M. Lau', 'Kyu-Myong Kim', 'Bryce Harrop', 'L. Ruby Leung']",2023,10.3390/atmos14060995
36,Journal of Climate,Journal of Climate,"['Timothy Andrews', 'Mark J. Webb']",2018,10.1175/JCLI-D-17-0087.1
37,Journal of the Meteorological Society of Japan. Ser. II,Journal of the Meteorological Society of Japan. Ser. II,"['Hideaki KAWAI', 'Shoichi SHIGE']",2020,10.2151/jmsj.2020-059
