,journal_title,article_title,contributors,year,doi
347,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Rick D. Russotto', 'Jeffrey D. O. Strong', 'Suzana J. Camargo', 'Adam Sobel', 'Gregory S. Elsaesser', 'Maxwell Kelley', 'Anthony Del Genio', 'Yumin Moon', 'Daehyun Kim']",2022,10.1029/2021MS002601
348,Journal of the Air & Waste Management Association,Journal of the Air & Waste Management Association,['Walter A. Robinson'],2021,10.1080/10962247.2021.1942319
349,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Tian Ding', 'Tianjun Zhou', 'Xiaolong Chen', 'Liwei Zou', 'Puxi Li', 'Malcolm J. Roberts', 'Peili Wu']",2021,10.1029/2020MS002430
350,Journal of Physical Oceanography,Journal of Physical Oceanography,"['Christopher Danek', 'Patrick Scholz', 'Gerrit Lohmann']",2019,10.1175/JPO-D-18-0141.1
351,Ocean Modelling,Ocean Modelling,"['Sophia M. Moreton', 'David Ferreira', 'Malcolm J. Roberts', 'Helene T. Hewitt']",2020,10.1016/j.ocemod.2020.101567
352,Progress in Earth and Planetary Science,Progress in Earth and Planetary Science,"['Rui Ito', 'Tosiyuki Nakaegawa', 'Izuru Takayabu']",2020,10.1186/s40645-020-00394-4
353,Geoscientific Model Development,Geoscientific Model Development,"['Kristian Strommen', 'Hannah M. Christensen', 'Dave MacLeod', 'Stephan Juricke', 'Tim N. Palmer']",2019,10.5194/gmd-12-3099-2019
354,Quarterly Journal of the Royal Meteorological Society,Quarterly Journal of the Royal Meteorological Society,"['Chee‐Kiat Teo', 'Tieh‐Yong Koh', 'Kevin K. W. Cheung', 'Bernard Legras', 'Hoai‐Nguyen Huynh', 'Lock‐Yue Chew', 'Leslie Norford']",2021,10.1002/qj.3959
355,Geophysical Research Letters,Geophysical Research Letters,"['Franz Philip Tuchen', 'Renellys C. Perez', 'Gregory R. Foltz', 'Peter Brandt', 'Rick Lumpkin']",2022,10.1029/2022GL101073
356,Applied Energy,Applied Energy,"['Chaoqun Zhuang', 'Ruchi Choudhary', 'Anna Mavrogianni']",2023,10.1016/j.apenergy.2023.121111
357,Quarterly Journal of the Royal Meteorological Society,Quarterly Journal of the Royal Meteorological Society,"['Qi Tang', 'Longjiang Mu', 'Dmitry Sidorenko', 'Helge Goessling', 'Tido Semmler', 'Lars Nerger']",2020,10.1002/qj.3885
358,Climate Dynamics,Climate Dynamics,"['Tianyun Dong', 'Wenjie Dong']",2021,10.1007/s00382-021-05773-1
359,Journal of Climate,Journal of Climate,"['Reinhard Schiemann', 'Marie-Estelle Demory', 'Len C. Shaffrey', 'Jane Strachan', 'Pier Luigi Vidale', 'Matthew S. Mizielinski', 'Malcolm J. Roberts', 'Mio Matsueda', 'Michael F. Wehner', 'Thomas Jung']",2017,10.1175/JCLI-D-16-0100.1
360,Journal of Hydrology,Journal of Hydrology,"['Andrea Neri', 'Gabriele Villarini', 'Francesco Napolitano']",2020,10.1016/j.jhydrol.2019.124314
361,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences","Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences","['Michael Wehner', 'Jiwoo Lee', 'Mark Risser', 'Paul Ullrich', 'Peter Gleckler', 'William D. Collins']",2021,10.1098/rsta.2019.0545
