,journal_title,article_title,contributors,year,doi
258,Journal of Hydrometeorology,Journal of Hydrometeorology,"['Guiling Wang', 'Christine J. Kirchhoff', 'Anji Seth', 'John T. Abatzoglou', 'Ben Livneh', 'David W. Pierce', 'Lori Fomenko', 'Tengyu Ding']",2020,10.1175/JHM-D-19-0275.1
259,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Dalei Hao', 'Gautam Bisht', 'Meng Huang', 'Po‐Lun Ma', 'Teklu Tesfa', 'Wei‐Liang Lee', 'Yu Gu', 'L. Ruby Leung']",2022,10.1029/2021MS002862
260,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Martin B. Andrews', 'Jeff K. Ridley', 'Richard A. Wood', 'Timothy Andrews', 'Edward W. Blockley', 'Ben Booth', 'Eleanor Burke', 'Andrea J. Dittus', 'Piotr Florek', 'Lesley J. Gray', 'Stephen Haddad', 'Steven C. Hardiman', 'Leon Hermanson', 'Dan Hodson', 'Emma Hogan', 'Gareth S. Jones', 'Jeff R. Knight', 'Till Kuhlbrodt', 'Stergios Misios', 'Matthew S. Mizielinski', 'Mark A. Ringer', 'Jon Robson', 'Rowan T. Sutton']",2020,10.1029/2019MS001995
261,Geophysical Research Letters,Geophysical Research Letters,"['Mark D. Zelinka', 'Timothy A. Myers', 'Daniel T. McCoy', 'Stephen Po‐Chedley', 'Peter M. Caldwell', 'Paulo Ceppi', 'Stephen A. Klein', 'Karl E. Taylor']",2020,10.1029/2019GL085782
262,Benesh: a Programming Model for Coupled Scientific Workflows,2020 IEEE/ACM Fifth International Workshop on Extreme Scale Programming Models and Middleware (ESPM2),"['Philip E. Davis', 'Pradeep Subedi', 'Shaohua Duan', 'Lee Ricketson', 'Jeffrey A.F. Hittinger', 'Manish Parashar']",2020,10.1109/ESPM251964.2020.00008
263,Geophysical Research Letters,Geophysical Research Letters,"['Riley X. Brady', 'Mathew E. Maltrud', 'Phillip J. Wolfram', 'Henri F. Drake', 'Nicole S. Lovenduski']",2021,10.1029/2021GL095088
264,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Qiu Yang', 'Walter M. Hannah', 'L. Ruby Leung']",2022,10.1029/2022MS003206
265,Journal of Scientific Computing,Journal of Scientific Computing,"['Hong Zhang', 'Zhengyu Liu', 'Emil Constantinescu', 'Robert Jacob']",2020,10.1007/s10915-020-01293-y
266,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Hyun‐Gyu Kang', 'Katherine J. Evans', 'Mark R. Petersen', 'Philip W. Jones', 'Siddhartha Bishnu']",2021,10.1029/2020MS002238
267,Computers & Fluids,Computers & Fluids,"['Shinhoo Kang', 'Alp Dener', 'Aidan Hamilton', 'Hong Zhang', 'Emil M. Constantinescu', 'Robert L. Jacob']",2023,10.1016/j.compfluid.2023.105964
268,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Peter M. Caldwell', 'Azamat Mametjanov', 'Qi Tang', 'Luke P. Van Roekel', 'Jean‐Christophe Golaz', 'Wuyin Lin', 'David C. Bader', 'Noel D. Keen', 'Yan Feng', 'Robert Jacob', 'Mathew E. Maltrud', 'Andrew F. Roberts', 'Mark A. Taylor', 'Milena Veneziani', 'Hailong Wang', 'Jonathan D. Wolfe', 'Karthik Balaguru', 'Philip Cameron‐Smith', 'Lu Dong', 'Stephen A. Klein', 'L. Ruby Leung', 'Hong‐Yi Li', 'Qing Li', 'Xiaohong Liu', 'Richard B. Neale', 'Marielle Pinheiro', 'Yun Qian', 'Paul A. Ullrich', 'Shaocheng Xie', 'Yang Yang', 'Yuying Zhang', 'Kai Zhang', 'Tian Zhou']",2019,10.1029/2019MS001870
269,Geoscientific Model Development,Geoscientific Model Development,"['Tao Zheng', 'Sha Feng', 'Kenneth J. Davis', 'Sandip Pal', 'Josep-Anton Morguí']",2021,10.5194/gmd-14-3037-2021
270,International Journal of Climatology,International Journal of Climatology,"['Andrés Navarro', 'Andrés Merino', 'José Luis Sánchez', 'Eduardo García‐Ortega', 'Raúl Martín', 'Francisco J. Tapiador']",2022,10.1002/joc.7527
271,Journal of Climate,Journal of Climate,"['Cristian Martinez-Villalobos', 'J. David Neelin', 'Angeline G. Pendergrass']",2022,10.1175/JCLI-D-21-0617.1
272,Modeling Earth Systems and Environment,Modeling Earth Systems and Environment,"['Adigun Paul Ayodele', 'Ebiendele Eromosele Precious', 'Ermias Sisay Brhane', 'Adawa Ifeoluwa Seun']",2022,10.1007/s40808-022-01433-3
273,Geophysical Research Letters,Geophysical Research Letters,"['Han Huang', 'Yi Huang']",2023,10.1029/2023GL103723
274,Climate Services,Climate Services,"['Ahmed Elshall', 'Ming Ye', 'Sven A. Kranz', 'Julie Harrington', 'Xiaojuan Yang', 'Yongshan Wan', 'Mathew Maltrud']",2022,10.1016/j.cliser.2022.100334
275,Geophysical Research Letters,Geophysical Research Letters,"['J. E. Jack Reeves\xa0Eyre', 'Luke Van Roekel', 'Xubin Zeng', 'Michael A. Brunke', 'Jean‐Christophe Golaz']",2019,10.1029/2019GL083591
276,In Situ Climate Modeling for Analyzing Extreme Weather Events,ISAV'21: In Situ Infrastructures for Enabling Extreme-Scale Analysis and Visualization,"['Soumya Dutta', 'Natalie Klein', 'Li Tang', 'Jonathan David Wolfe', 'Luke Van Roekel', 'James Joseph Benedict', 'Ayan Biswas', 'Earl Lawrence', 'Nathan Urban']",2021,10.1145/3490138.3490142
277,Quarterly Journal of the Royal Meteorological Society,Quarterly Journal of the Royal Meteorological Society,"['Christopher Eldred', 'Mark Taylor', 'Oksana Guba']",2022,10.1002/qj.4353
278,In-Situ Spatial Inference on Climate Simulations with Sparse Gaussian Processes,ISAV'21: In Situ Infrastructures for Enabling Extreme-Scale Analysis and Visualization,"['Michael Grosskopf', 'Earl Lawrence', 'Ayan Biswas', 'Li Tang', 'Kelin Rumsey', 'Luke Van Roekel', 'Nathan Urban']",2021,10.1145/3490138.3490140
279,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Sean Patrick Santos', 'Peter M. Caldwell', 'Christopher S. Bretherton']",2020,10.1029/2019MS001972
280,Geoscientific Model Development,Geoscientific Model Development,"['Patrick Obin Sturm', 'Anthony S. Wexler']",2020,10.5194/gmd-13-4435-2020
281,Geoscientific Model Development,Geoscientific Model Development,"['Marine Bonazzola', 'Hélène Chepfer', 'Po-Lun Ma', 'Johannes Quaas', 'David M. Winker', 'Artem Feofilov', 'Nick Schutgens']",2023,10.5194/gmd-16-1359-2023
282,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['Yi‐Chi Wang', 'Shaocheng Xie', 'Shuaiqi Tang', 'Wuyin Lin']",2020,10.1029/2019JD031651
283,Geoscientific Model Development,Geoscientific Model Development,"['Yilin Fang', 'L. Ruby Leung', 'Charles D. Koven', 'Gautam Bisht', 'Matteo Detto', 'Yanyan Cheng', 'Nate McDowell', 'Helene Muller-Landau', 'S. Joseph Wright', 'Jeffrey Q. Chambers']",2022,10.5194/gmd-15-7879-2022
284,Geophysical Research Letters,Geophysical Research Letters,"['Ana C. T. Sena', 'Christina M. Patricola', 'Burlen Loring']",2022,10.1029/2022GL100267
285,Earth's Future,Earth's Future,"['Ali Serkan Bayar', 'M. Tuğrul Yılmaz', 'İsmail Yücel', 'Paul Dirmeyer']",2023,10.1029/2022EF002972
286,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['L. Ruby Leung', 'David C. Bader', 'Mark A. Taylor', 'Renata B. McCoy']",2020,10.1029/2019MS001821
287,Earth System Dynamics,Earth System Dynamics,"['Manuel Schlund', 'Axel Lauer', 'Pierre Gentine', 'Steven C. Sherwood', 'Veronika Eyring']",2020,10.5194/esd-11-1233-2020
288,Climate,Climate,"['Corrie Monteverde', 'Fernando De Sales', 'Charles Jones']",2022,10.3390/cli10080122
289,Environmental Earth Sciences,Environmental Earth Sciences,"['D. Banesh', 'M. Petersen', 'J. Wendelberger', 'J. Ahrens', 'B. Hamann']",2019,10.1007/s12665-019-8636-y
290,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Yao‐Sheng Chen', 'Takanobu Yamaguchi', 'Peter A. Bogenschutz', 'Graham Feingold']",2021,10.1029/2021MS002625
291,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['W. Liu', 'P. A. Ullrich', 'O. Guba', 'P. M. Caldwell', 'N. D. Keen']",2022,10.1029/2021MS002805
292,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Kristin N. Barton', 'Nairita Pal', 'Steven R. Brus', 'Mark R. Petersen', 'Brian K. Arbic', 'Darren Engwirda', 'Andrew F. Roberts', 'Joannes J. Westerink', 'Damrongsak Wirasaet', 'Michael Schindelegger']",2022,10.1029/2022MS003207
293,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Sheng‐Lun Tai', 'Zhe Feng', 'Po‐Lun Ma', 'Courtney Schumacher', 'Jerome D. Fast']",2021,10.1029/2021MS002586
