,journal_title,article_title,contributors,year,doi
68,Climate Dynamics,Climate Dynamics,"['Tianyun Dong', 'Wenjie Dong']",2021,10.1007/s00382-021-05773-1
69,Geophysical Research Letters,Geophysical Research Letters,"['J. Villamayor', 'M. Khodri', 'S.‐W. Fang', 'J. H. Jungclaus', 'C. Timmreck', 'D. Zanchettin']",2023,10.1029/2022GL101478
70,Quaternary Science Reviews,Quaternary Science Reviews,"['April S. Dalton', 'Martin Margold', 'Chris R. Stokes', 'Lev Tarasov', 'Arthur S. Dyke', 'Roberta S. Adams', 'Serge Allard', 'Heather E. Arends', 'Nigel Atkinson', 'John W. Attig', 'Peter J. Barnett', 'Robert L. Barnett', 'Martin Batterson', 'Pascal Bernatchez', 'Harold W. Borns', 'Andy Breckenridge', 'Jason P. Briner', 'Etienne Brouard', 'Janet E. Campbell', 'Anders E. Carlson', 'John J. Clague', 'B. Brandon Curry', 'Robert-André Daigneault', 'Hugo Dubé-Loubert', 'Don J. Easterbrook', 'David A. Franzi', 'Hannah G. Friedrich', 'Svend Funder', 'Michelle S. Gauthier', 'Angela S. Gowan', 'Ken L. Harris', 'Bernard Hétu', 'Tom S. Hooyer', 'Carrie E. Jennings', 'Mark D. Johnson', 'Alan E. Kehew', 'Samuel E. Kelley', 'Daniel Kerr', 'Edward L. King', 'Kristian K. Kjeldsen', 'Alan R. Knaeble', 'Patrick Lajeunesse', 'Thomas R. Lakeman', 'Michel Lamothe', 'Phillip Larson', 'Martin Lavoie', 'Henry M. Loope', 'Thomas V. Lowell', 'Barbara A. Lusardi', 'Lorraine Manz', 'Isabelle McMartin', 'F. Chantel Nixon', 'Serge Occhietti', 'Michael A. Parkhill', 'David J.W. Piper', 'Antonius G. Pronk', 'Pierre J.H. Richard', 'John C. Ridge', 'Martin Ross', 'Martin Roy', 'Allen Seaman', 'John Shaw', 'Rudolph R. Stea', 'James T. Teller', 'Woodrow B. Thompson', 'L. Harvey Thorleifson', 'Daniel J. Utting', 'Jean J. Veillette', 'Brent C. Ward', 'Thomas K. Weddle', 'Herbert E. Wright']",2020,10.1016/j.quascirev.2020.106223
71,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['Thomas J. Aubry', 'Matthew Toohey', 'Lauren Marshall', 'Anja Schmidt', 'A. Mark Jellinek']",2020,10.1029/2019JD031303
72,WIREs Climate Change,WIREs Climate Change,['Diane M. Thompson'],2022,10.1002/wcc.745
73,Quaternary Science Reviews,Quaternary Science Reviews,"['Thomas Gravgaard Askjær', 'Qiong Zhang', 'Frederik Schenk', 'Fredrik Charpentier Ljungqvist', 'Zhengyao Lu', 'Chris M. Brierley', 'Peter O. Hopcroft', 'Johann Jungclaus', 'Xiaoxu Shi', 'Gerrit Lohmann', 'Weiyi Sun', 'Jian Liu', 'Pascale Braconnot', 'Bette L. Otto-Bliesner', 'Zhipeng Wu', 'Qiuzhen Yin', 'Yibo Kang', 'Haijun Yang']",2022,10.1016/j.quascirev.2022.107801
74,Climate Dynamics,Climate Dynamics,"['A. Donohoe', 'A. R. Atwood', 'D. S. Battisti']",2022,10.1007/s00382-022-06203-6
75,ENSO Modeling,El Niño Southern Oscillation in a Changing Climate,"['Eric Guilyardi', 'Antonietta Capotondi', 'Matthieu Lengaigne', 'Sulian Thual', 'Andrew T. Wittenberg']",2020,10.1002/9781119548164.ch9
76,Geosystems and Geoenvironment,Geosystems and Geoenvironment,"['Yi Zhong', 'Zhengyao Lu', 'David J. Wilson', 'Debo Zhao', 'Yanguang Liu', 'Ting Chen', 'Congcong Gai', 'Xun Gong', 'Zhaoxia Jiang', 'Jiabo Liu', 'Qingsong Liu']",2023,10.1016/j.geogeo.2022.100124
77,Climate of the Past,Climate of the Past,"['Jianqiu Zheng', 'Qiong Zhang', 'Qiang Li', 'Qiang Zhang', 'Ming Cai']",2019,10.5194/cp-15-291-2019
78,Geophysical Research Letters,Geophysical Research Letters,"['S. Tiwari', 'R. D. Ramos', 'F. S. R. Pausata', 'A. N. LeGrande', 'M. L. Griffiths', 'H. Beltrami', 'I. Wainer', 'A. de Vernal', 'D. T. Litchmore', 'D. Chandan', 'W. R. Peltier', 'C. R. Tabor']",2023,10.1029/2022GL101974
79,Climate of the Past,Climate of the Past,"['Chris Brierley', 'Kaustubh Thirumalai', 'Edward Grindrod', 'Jonathan Barnsley']",2023,10.5194/cp-19-681-2023
80,Geoscientific Model Development,Geoscientific Model Development,"['Patrick J. Bartlein', 'Sarah L. Shafer']",2019,10.5194/gmd-12-3889-2019
81,Geophysical Research Letters,Geophysical Research Letters,"['Zhiyi Jiang', 'Chris M. Brierley', 'Jürgen Bader', 'Pascale Braconnot', 'Michael Erb', 'Peter O. Hopcroft', 'Dabang Jiang', 'Johann Jungclaus', 'Vyacheslav Khon', 'Gerrit Lohmann', 'Olivier Marti', 'Matthew B. Osman', 'Bette Otto‐Bliesner', 'Birgit Schneider', 'Xiaoxu Shi', 'David J. R. Thornalley', 'Zhiping Tian', 'Qiong Zhang']",2023,10.1029/2023GL103078
82,Climate Dynamics,Climate Dynamics,"['Gabriel Silvestri', 'Ana Laura Berman', 'Pascale Braconnot', 'Olivier Marti']",2022,10.1007/s00382-022-06160-0
83,Geoscientific Model Development,Geoscientific Model Development,"['Rumi Ohgaito', 'Akitomo Yamamoto', 'Tomohiro Hajima', ""Ryouta O'ishi"", 'Manabu Abe', 'Hiroaki Tatebe', 'Ayako Abe-Ouchi', 'Michio Kawamiya']",2021,10.5194/gmd-14-1195-2021
84,Geophysical Research Letters,Geophysical Research Letters,"['Shih‐Wei Fang', 'Myriam Khodri', 'Claudia Timmreck', 'Davide Zanchettin', 'Johann Jungclaus']",2021,10.1029/2021GL095990
