,0
AMIP1,898
CMIP1,67
CMIP2,349
CMIP3,3
CMIP5,563
CMIP6,3005
AERCMIP,198
C4MIP,188
CFMIP,157
CORDEX,298
DAMIP,365
DCPP,253
DYNVARMIP,26
FAFMIP,120
GEOMIP6,125
GMMIP,81
HIGHRESMIP,64
ISMIP6,122
LS3MIP,148
LUMIP,0
OMIP1,166
OMIP2,9
PAMIP,164
PMIP4,24
RFMIP,147
SCENARIOMIP,2
SIMIP,55
VIACSAB,34
VOLMIP,152
ZECMIP,44
E3SM-1-0,209
CCSM4,2852
CESM1,9191
CESM2,2
